materi,ujian,tahun,semester,teori,campuran,analisis
Logika,UTS,2009,1,0,0,1
Himpunan,UTS,2009,1,0,0,2
Relasi dan Fungsi,UTS,2009,1,0,0,1
Induksi Matematika,UTS,2009,1,0,0,1
Teori Bilangan,UTS,2009,1,0,0,2
Kombinatorial,UAS,2009,1,0,0,2
Graf dan Pohon,UAS,2009,1,0,0,5
Kompleksitas Algoritma,UAS,2009,1,0,0,1
Logika,UTS,2010,1,0,0,3
Himpunan,UTS,2010,1,0,0,2
Relasi dan Fungsi,UTS,2010,1,0,0,1
Induksi Matematika,UTS,2010,1,0,0,1
Teori Bilangan,UTS,2010,1,0,0,1
Logika,UAS,2010,1,999,999,999
Himpunan,UAS,2010,1,999,999,999
Relasi dan Fungsi,UAS,2010,1,999,999,999
Induksi Matematika,UAS,2010,1,999,999,999
Teori Bilangan,UAS,2010,1,999,999,999
Kombinatorial,UAS,2010,1,999,999,999
Graf dan Pohon,UAS,2010,1,999,999,999
Kompleksitas Algoritma,UAS,2010,1,999,999,999
Logika,UTS,2011,1,0,0,1
Himpunan,UTS,2011,1,0,0,2
Relasi dan Fungsi,UTS,2011,1,0,0,1
Induksi Matematika,UTS,2011,1,0,0,1
Teori Bilangan,UTS,2011,1,0,0,2
Kombinatorial,UAS,2011,1,0,0,1
Graf dan Pohon,UAS,2011,1,0,0,5
Kompleksitas Algoritma,UAS,2011,1,0,0,3
Logika,UTS,2012,1,0,0,1
Himpunan,UTS,2012,1,0,0,2
Relasi dan Fungsi,UTS,2012,1,0,0,1
Induksi Matematika,UTS,2012,1,0,0,1
Teori Bilangan,UTS,2012,1,0,0,2
Kombinatorial,UAS,2012,1,0,0,2
Graf dan Pohon,UAS,2012,1,0,0,4
Kompleksitas Algoritma,UAS,2012,1,1,0,1
Logika,UTS,2013,1,0,0,0
Himpunan,UTS,2013,1,0,0,3
Relasi dan Fungsi,UTS,2013,1,0,0,2
Induksi Matematika,UTS,2013,1,0,0,1
Teori Bilangan,UTS,2013,1,0,0,2
Kombinatorial,UAS,2013,1,0,0,1
Graf dan Pohon,UAS,2013,1,0,0,6
Kompleksitas Algoritma,UAS,2013,1,0,0,3
