materi,ujian,tahun,semester,teori,campuran,analisis
Konsep Dasar,UTS,2009,2,7,0,0
Operasi Aritmatika Komputer,UTS,2009,2,0,0,1
Memory,UTS,2009,2,1,0,0
Representasi Data,UTS,2009,2,1,0,0
Assembly/SAP Programming,UAS,2009,2,0,0,3
Representasi Data,UAS,2009,2,0,0,1
Konsep Dasar,UTS,2010,2,3,0,0
Operasi Aritmatika Komputer,UTS,2010,2,0,0,1
Memory,UTS,2010,2,1,0,0
Caching,UTS,2010,2,2,0,0
Assembly/SAP Programming,UAS,2010,2,0,0,4
Konsep Dasar,UTS,2011,2,4,0,0
Operasi Aritmatika Komputer,UTS,2011,2,0,0,1
Assembly/SAP Programming,UTS,2011,2,0,0,1
Konsep Dasar,UAS,2011,2,4,0,0
Memory,UAS,2011,2,3,0,0
Caching,UAS,2011,2,3,0,0
Operasi Aritmatika Komputer,UTS,2012,2,0,0,1
Assembly/SAP Programming,UTS,2012,2,0,0,3
Representasi Data,UTS,2012,2,0,0,2
Memory,UAS,2012,2,1,0,1
Caching,UAS,2012,2,0,0,2
Assembly/SAP Programming,UAS,2012,2,0,0,1
Signaling,UAS,2012,2,1,0,0
Linking,UAS,2012,2,1,0,0
Assembly/SAP Programming,UTS,2013,1,0,0,2
Representasi Data,UTS,2013,1,0,0,2
Konsep Dasar,UAS,2013,1,999,999,999
Operasi Aritmatika Komputer,UAS,2013,1,999,999,999
Memory,UAS,2013,1,999,999,999
Caching,UAS,2013,1,999,999,999
Assembly/SAP Programming,UAS,2013,1,999,999,999
Representasi Data,UAS,2013,1,999,999,999
Signaling,UAS,2013,1,999,999,999
Linking,UAS,2013,1,999,999,999
