materi,ujian,tahun,semester,teori,campuran,analisis
Brute Force,UTS,2009,1,0,0,2
Greedy Algorithm,UTS,2009,1,0,0,3
Divide (Decrease) and Conquer,UTS,2009,1,0,0,2
DFS dan BFS,UTS,2009,1,0,0,1
Branch-and-Bound,UAS,2009,1,0,0,1
Dynamic Programming,UAS,2009,1,0,0,1
Pattern Matching,UAS,2009,1,0,0,1
NP-Completeness,UAS,2009,1,0,0,1
Brute Force,UTS,2010,1,999,999,999
Greedy Algorithm,UTS,2010,1,999,999,999
Divide (Decrease) and Conquer,UTS,2010,1,999,999,999
DFS dan BFS,UTS,2010,1,999,999,999
Backtracking,UTS,2010,1,999,999,999
Branch-and-Bound,UTS,2010,1,999,999,999
Dynamic Programming,UTS,2010,1,999,999,999
Pattern Matching,UTS,2010,1,999,999,999
NP-Completeness,UTS,2010,1,999,999,999
Brute Force,UAS,2010,1,999,999,999
Greedy Algorithm,UAS,2010,1,999,999,999
Divide (Decrease) and Conquer,UAS,2010,1,999,999,999
DFS dan BFS,UAS,2010,1,999,999,999
Backtracking,UAS,2010,1,999,999,999
Branch-and-Bound,UAS,2010,1,999,999,999
Dynamic Programming,UAS,2010,1,999,999,999
Pattern Matching,UAS,2010,1,999,999,999
NP-Completeness,UAS,2010,1,999,999,999
Brute Force,UTS,2011,1,0,0,1
Greedy Algorithm,UTS,2011,1,0,0,1
Divide (Decrease) and Conquer,UTS,2011,1,0,0,1
DFS dan BFS,UTS,2011,1,0,0,1
Backtracking,UTS,2011,1,1,0,0
Backtracking,UAS,2011,1,0,0,1
Branch-and-Bound,UAS,2011,1,0,0,1
Dynamic Programming,UAS,2011,1,0,0,1
Pattern Matching,UAS,2011,1,0,0,1
NP-Completeness,UAS,2011,1,1,0,0
Brute Force,UTS,2012,1,0,0,1
Greedy Algorithm,UTS,2012,1,0,0,2
Divide (Decrease) and Conquer,UTS,2012,1,0,0,1
DFS dan BFS,UTS,2012,1,0,0,2
Branch-and-Bound,UAS,2012,1,0,0,1
Dynamic Programming,UAS,2012,1,0,0,1
Pattern Matching,UAS,2012,1,0,0,1
NP-Completeness,UAS,2012,1,0,0,1
Brute Force,UTS,2013,1,0,0,1
Greedy Algorithm,UTS,2013,1,0,0,1
Divide (Decrease) and Conquer,UTS,2013,1,0,0,3
DFS dan BFS,UTS,2013,1,0,0,1
Branch-and-Bound,UAS,2013,1,0,0,1
Dynamic Programming,UAS,2013,1,0,0,1
Pattern Matching,UAS,2013,1,0,0,1
NP-Completeness,UAS,2013,1,0,0,1
Brute Force,UTS,2013,2,0,0,1
Greedy Algorithm,UTS,2013,2,0,0,1
Divide (Decrease) and Conquer,UTS,2013,2,0,0,3
DFS dan BFS,UTS,2013,2,0,0,1
Greedy Algorithm,UAS,2013,2,0,0,1
DFS dan BFS,UAS,2013,2,0,0,1
Branch-and-Bound,UAS,2013,2,0,0,1
Dynamic Programming,UAS,2013,2,0,0,1
Pattern Matching,UAS,2013,2,0,0,3
NP-Completeness,UAS,2013,2,0,0,1
