materi,ujian,tahun,semester,teori,campuran,analisis
Konsep Dasar,UTS,2009,2,0,0,1
Problem-Solving Agent,UTS,2009,2,0,0,1
Knowledge-based System,UTS,2009,2,0,1,0
Rule-based System,UTS,2009,2,0,1,0
Knowledge-based System,UAS,2009,2,0,0,1
Planning Agent,UAS,2009,2,0,0,1
Multi-agent System,UAS,2009,2,0,0,1
Learning System,UAS,2009,2,0,1,0
Konsep Dasar,UTS,2010,2,0,0,1
Knowledge-based System,UTS,2010,2,0,0,1
Rule-based System,UTS,2010,2,0,0,2
Konsep Dasar,UAS,2010,2,999,999,999
Problem-Solving Agent,UAS,2010,2,999,999,999
Knowledge-based System,UAS,2010,2,999,999,999
Rule-based System,UAS,2010,2,999,999,999
Planning Agent,UAS,2010,2,999,999,999
Probabilistic System,UAS,2010,2,999,999,999
Multi-agent System,UAS,2010,2,999,999,999
Learning System,UAS,2010,2,999,999,999
Konsep Dasar,UTS,2011,2,0,1,0
Problem-Solving Agent,UTS,2011,2,0,0,1
Knowledge-based System,UTS,2011,2,0,1,0
Rule-based System,UTS,2011,2,1,0,0
Konsep Dasar,UAS,2011,2,0,0,1
Problem-Solving Agent,UAS,2011,2,0,0,1
Knowledge-based System,UAS,2011,2,0,0,1
Rule-based System,UAS,2011,2,1,0,0
Planning Agent,UAS,2011,2,0,1,0
Probabilistic System,UAS,2011,2,0,1,0
Multi-agent System,UAS,2011,2,0,0,1
Learning System,UAS,2011,2,0,0,2
Konsep Dasar,UTS,2012,2,0,0,2
Problem-Solving Agent,UTS,2012,2,0,0,1
Knowledge-based System,UTS,2012,2,0,0,1
Rule-based System,UTS,2012,2,0,0,1
Konsep Dasar,UAS,2012,2,0,0,1
Problem-Solving Agent,UAS,2012,2,0,1,0
Rule-based System,UAS,2012,2,0,0,1
Probabilistic System,UAS,2012,2,0,0,1
Learning System,UAS,2012,2,1,0,2
Konsep Dasar,UTS,2013,2,0,0,1
Problem-Solving Agent,UTS,2013,2,1,1,0
Knowledge-based System,UTS,2013,2,0,0,1
Rule-based System,UTS,2013,2,0,0,1
Planning Agent,UTS,2013,2,0,1,0
Probabilistic System,UTS,2013,2,0,0,1
Konsep Dasar,UAS,2013,2,999,999,999
Problem-Solving Agent,UAS,2013,2,999,999,999
Knowledge-based System,UAS,2013,2,999,999,999
Rule-based System,UAS,2013,2,999,999,999
Planning Agent,UAS,2013,2,999,999,999
Probabilistic System,UAS,2013,2,999,999,999
Multi-agent System,UAS,2013,2,999,999,999
Learning System,UAS,2013,2,999,999,999
