materi,ujian,tahun,semester,teori,campuran,analisis
Propositional Logic - Syntax & Semantic,UTS,2009,1,0,0,0
Propositional Logic - Logical Entailment,UTS,2009,1,0,0,1
Relational Logic - Syntax & Semantic,UTS,2009,1,0,0,3
Relational Logic - Logical Entailment,UTS,2009,1,0,0,0
Relational Logic - Syntax & Semantic,UAS,2009,1,0,0,1
Relational Logic - Logical Entailment,UAS,2009,1,0,0,1
Prolog,UAS,2009,1,0,0,4
Propositional Logic - Syntax & Semantic,UTS,2010,1,0,0,1
Propositional Logic - Logical Entailment,UTS,2010,1,0,0,2
Relational Logic - Syntax & Semantic,UTS,2010,1,0,0,2
Relational Logic - Logical Entailment,UTS,2010,1,0,0,0
Relational Logic - Syntax & Semantic,UAS,2010,1,0,0,1
Relational Logic - Logical Entailment,UAS,2010,1,0,0,1
Prolog,UAS,2010,1,0,0,2
Propositional Logic - Syntax & Semantic,UTS,2011,1,0,0,0
Propositional Logic - Logical Entailment,UTS,2011,1,0,0,3
Relational Logic - Syntax & Semantic,UTS,2011,1,0,0,3
Relational Logic - Logical Entailment,UTS,2011,1,0,0,1
Relational Logic - Syntax & Semantic,UAS,2011,1,0,0,1
Relational Logic - Logical Entailment,UAS,2011,1,0,0,2
Prolog,UAS,2011,1,0,0,2
Propositional Logic - Syntax & Semantic,UTS,2012,1,0,0,1
Propositional Logic - Logical Entailment,UTS,2012,1,2,0,1
Relational Logic - Syntax & Semantic,UTS,2012,1,0,0,3
Relational Logic - Logical Entailment,UTS,2012,1,0,0,1
Relational Logic - Syntax & Semantic,UAS,2012,1,0,0,2
Relational Logic - Logical Entailment,UAS,2012,1,0,0,1
Prolog,UAS,2012,1,3,0,1
Propositional Logic - Syntax & Semantic,UTS,2013,1,0,0,0
Propositional Logic - Logical Entailment,UTS,2013,1,0,0,1
Relational Logic - Syntax & Semantic,UTS,2013,1,0,0,3
Relational Logic - Logical Entailment,UTS,2013,1,0,0,1
Propositional Logic - Syntax & Semantic,UAS,2013,1,999,999,999
Propositional Logic - Logical Entailment,UAS,2013,1,999,999,999
Relational Logic - Syntax & Semantic,UAS,2013,1,999,999,999
Relational Logic - Logical Entailment,UAS,2013,1,999,999,999
Prolog,UAS,2013,1,999,999,999
