materi,ujian,tahun,semester,teori,campuran,analisis
DFA,UTS,2009,2,0,0,3
NFA,UTS,2009,2,0,0,1
Regular Expression,UTS,2009,2,0,0,1
Konversi Otomata,UTS,2009,2,0,0,1
CFG,UAS,2009,2,0,0,2
Konversi Otomata,UAS,2009,2,0,0,2
DFA,UTS,2010,2,0,0,1
NFA,UTS,2010,2,0,0,2
Pumping Lemma,UTS,2010,2,0,0,1
Regular Expression,UTS,2010,2,0,0,1
CFG,UAS,2010,2,0,0,1
PDA,UAS,2010,2,0,0,1
Konversi Otomata,UAS,2010,2,0,0,1
DFA,UTS,2011,2,0,0,2
Pumping Lemma,UTS,2011,2,0,0,1
Regular Expression,UTS,2011,2,0,0,1
CFG,UTS,2011,2,0,0,1
CFG,UAS,2011,2,0,0,1
PDA,UAS,2011,2,0,0,1
Konversi Otomata,UAS,2011,2,0,0,2
DFA,UTS,2012,2,0,0,1
NFA,UTS,2012,2,0,0,1
Pumping Lemma,UTS,2012,2,0,0,1
Konversi Otomata,UTS,2012,2,0,0,1
CFG,UAS,2012,2,0,0,2
PDA,UAS,2012,2,0,0,1
Konversi Otomata,UAS,2012,2,0,0,1
DFA,UTS,2013,2,999,999,999
NFA,UTS,2013,2,999,999,999
Pumping Lemma,UTS,2013,2,999,999,999
Regular Expression,UTS,2013,2,999,999,999
CFG,UTS,2013,2,999,999,999
PDA,UTS,2013,2,999,999,999
Konversi Otomata,UTS,2013,2,999,999,999
DFA,UAS,2013,2,999,999,999
NFA,UAS,2013,2,999,999,999
Pumping Lemma,UAS,2013,2,999,999,999
Regular Expression,UAS,2013,2,999,999,999
CFG,UAS,2013,2,999,999,999
PDA,UAS,2013,2,999,999,999
Konversi Otomata,UAS,2013,2,999,999,999
