materi,ujian,tahun,semester,teori,campuran,analisis
Konsep Dasar,UTS,2009,2,1,0,0
Storage & File System,UTS,2009,2,0,0,1
Model Data,UTS,2009,2,1,0,0
Pembuatan Entity-Relationship Diagram,UTS,2009,2,0,0,1
Transformasi Model Data (ERD -> Relational),UTS,2009,2,0,0,1
Storage & File System,UAS,2009,2,1,0,1
Pembuatan Entity-Relationship Diagram,UAS,2009,2,0,0,1
Transformasi Model Data (ERD -> Relational),UAS,2009,2,0,0,1
Desain Basis Data Relasional,UAS,2009,2,0,0,2
Pembuatan Entity-Relationship Diagram,UTS,2010,2,0,0,1
Transformasi Model Data (ERD -> Relational),UTS,2010,2,0,0,1
Desain Basis Data Relasional,UAS,2010,2,0,0,1
Entity-Relationship Diagram,UTS,2011,2,0,0,1
Transformasi Model Data (ERD -> Relational),UTS,2011,2,0,0,1
Konsep Dasar,UAS,2011,2,999,999,999
Storage & File System,UAS,2011,2,999,999,999
Model Data,UAS,2011,2,999,999,999
Entity-Relationship Diagram,UAS,2011,2,999,999,999
Pembuatan Entity-Relationship Diagram,UAS,2011,2,999,999,999
Transformasi Model Data (ERD -> Relational),UAS,2011,2,999,999,999
Desain Basis Data Relasional,UAS,2011,2,999,999,999
SQL,UAS,2011,2,999,999,999
Konsep Dasar,UTS,2012,2,1,0,0
Model Data,UTS,2012,2,1,0,0
Entity-Relationship Diagram,UTS,2012,2,0,0,1
Transformasi Model Data (ERD -> Relational),UTS,2012,2,0,0,1
Desain Basis Data Relasional,UAS,2012,2,0,1,1
SQL,UAS,2012,2,0,0,3
Konsep Dasar,UTS,2013,2,1,0,0
Storage & File System,UTS,2013,2,1,0,0
Model Data,UTS,2013,2,2,0,0
Entity-Relationship Diagram,UTS,2013,2,0,0,1
Transformasi Model Data (ERD -> Relational),UTS,2013,2,0,0,1
Pembuatan Entity-Relationship Diagram,UAS,2013,2,0,0,1
Transformasi Model Data (ERD -> Relational),UAS,2013,2,0,0,1
Desain Basis Data Relasional,UAS,2013,2,0,1,1
SQL,UAS,2013,2,0,0,2
