materi,ujian,tahun,semester,teori,campuran,analisis
Kebutuhan Perangkat Lunak,UTS,2009,2,2,0,0
Pembangunan Perangkat Lunak Terstruktur,UTS,2009,2,1,0,5
Pembangunan Perangkat Lunak Terstruktur,UAS,2009,2,2,0,0
Pembangunan Perangkat Lunak Berorientasi Objek,UAS,2009,2,2,0,5
Kebutuhan Perangkat Lunak,UTS,2010,1,2,0,0
Pembangunan Perangkat Lunak Terstruktur,UTS,2010,1,3,0,4
Pembangunan Perangkat Lunak Berorientasi Objek,UTS,2010,1,1,0,0
Model Perancangan,UAS,2010,1,1,0,0
Pembangunan Perangkat Lunak Terstruktur,UAS,2010,1,1,0,0
Pembangunan Perangkat Lunak Berorientasi Objek,UAS,2010,1,4,0,4
Model Proses dan Metode Pembangunan Perangkat Lunak,UTS,2010,2,1,0,0
Kebutuhan Perangkat Lunak,UTS,2010,2,1,0,0
Pembangunan Perangkat Lunak Terstruktur,UTS,2010,2,0,0,1
Pembangunan Perangkat Lunak Berorientasi Objek,UTS,2010,2,0,0,1
Model Perancangan,UAS,2010,2,2,0,0
Pembangunan Perangkat Lunak Berorientasi Objek,UAS,2010,2,1,0,6
Model Proses dan Metode Pembangunan Perangkat Lunak,UTS,2011,2,3,0,0
Kebutuhan Perangkat Lunak,UTS,2011,2,1,0,0
Pembangunan Perangkat Lunak Terstruktur,UTS,2011,2,1,0,1
Pembangunan Perangkat Lunak Berorientasi Objek,UTS,2011,2,3,0,2
Kebutuhan Perangkat Lunak,UAS,2011,2,2,0,0
Model Perancangan,UAS,2011,2,8,0,0
Pembangunan Perangkat Lunak Terstruktur,UAS,2011,2,0,0,1
Pembangunan Perangkat Lunak Berorientasi Objek,UAS,2011,2,0,0,4
Model Proses dan Metode Pembangunan Perangkat Lunak,UTS,2012,2,0,0,1
Kebutuhan Perangkat Lunak,UTS,2012,2,0,0,1
Pembangunan Perangkat Lunak Terstruktur,UTS,2012,2,0,0,1
Pembangunan Perangkat Lunak Berorientasi Objek,UTS,2012,2,0,0,1
Model Perancangan,UAS,2012,2,0,0,1
Pembangunan Perangkat Lunak Terstruktur,UAS,2012,2,1,0,1
Pembangunan Perangkat Lunak Berorientasi Objek,UAS,2012,2,1,0,2
Model Proses dan Metode Pembangunan Perangkat Lunak,UTS,2013,2,0,0,1
Kebutuhan Perangkat Lunak,UTS,2013,2,0,0,1
Pembangunan Perangkat Lunak Terstruktur,UTS,2013,2,0,0,1
Pembangunan Perangkat Lunak Berorientasi Objek,UTS,2013,2,0,0,1
Model Perancangan,UAS,2013,2,1,0,1
Pembangunan Perangkat Lunak Terstruktur,UAS,2013,2,2,0,1
Pembangunan Perangkat Lunak Berorientasi Objek,UAS,2013,2,2,0,3
